"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
342,20.499221,-148.92533,169.89343,1148491.00248,4505.8474272
343,20.443634,-149.02134,169.89387,1152996.89136,4505.7413568
344,20.388056,-149.1165,169.89306,1157502.56688,4505.6051112
345,20.3325,-149.21087,169.89104,1162007.7852,4505.4402144
346,20.27694,-149.30438,169.88778,1166513.24736,4505.2460568
347,20.221394,-149.39707,169.88332,1171018.46568,4505.023248
348,20.165866,-149.48901,169.8777,1175523.2268,4504.7742264
349,20.110349,-149.58015,169.87093,1180027.866,4504.497468
350,20.054837,-149.67047,169.86299,1184532.47472,4504.1935824
351,19.999352,-149.76005,169.85396,1189036.35192,4503.8640936
352,19.943872,-149.84887,169.84381,1193540.16816,4503.5090016
353,19.888412,-149.93693,169.83259,1198043.5272,4503.128916
354,19.832974,-150.02429,169.85423,1202546.21568,4502.725056
354.04001,19.830756,-150.02774,169.85594,1202726.41344,4502.7076824
355,19.777547,-150.11086,169.89641,1207048.75176,4502.2955928
355.04001,19.775337,-150.11432,169.89807,1207228.64472,4502.2782192
356,19.722134,-150.19671,170.40121,1211550.92208,4501.8478416
357,19.66674,-150.28189,171.48402,1216052.51328,4501.3735728
358,19.611368,-150.36634,172.32881,1220553.49488,4500.8752248
359,19.556003,-150.45006,172.68336,1225054.35456,4500.3534072
360,19.500664,-150.53312,172.47682,1229554.39128,4499.8102536
361,19.445344,-150.6155,171.75113,1234053.90984,4499.245764
362,19.390044,-150.69719,170.62601,1238552.91024,4498.6593288
363,19.334761,-150.77822,169.26122,1243051.30104,4498.0530816
364,19.279509,-150.85862,167.70048,1247548.80792,4497.426108
365,19.224266,-150.93833,166.006,1252046.01,4496.7787128
366,19.169055,-151.01742,164.2209,1256542.23672,4496.1121152
367,19.113851,-151.09584,162.38329,1261038.28056,4495.4257056
368,19.058676,-151.17367,160.49257,1265533.31856,4494.7207032
369,19.003526,-151.25087,158.56349,1270027.62504,4493.9974128
370,18.948396,-151.32745,156.60338,1274521.16952,4493.2558344
371,18.89329,-151.40342,154.61565,1279013.98248,4492.495968
372,18.838203,-151.47878,152.60166,1283506.12488,4491.718728
373,18.783139,-151.55355,150.5655,1287997.4748,4490.9244192
374,18.728096,-151.62773,148.50392,1292488.15416,4490.1130416
375,18.673085,-151.70136,146.41464,1296977.67528,4489.2855096
376,18.618087,-151.77437,144.29627,1301466.76968,4488.4415184
